INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES,MS_READY_SMILES,QSAR_READY_SMILES
1193-18-6,CASRN,DTXSID8035186,3-Methyl-2-cyclohexen-1-one,CC1=CC(=O)CCC1,CC1=CC(=O)CCC1,CC1=CC(=O)CCC1
119-32-4,CASRN,DTXSID7025633,4-Methyl-3-nitroaniline,CC1=C(C=C(N)C=C1)[N+]([O-])=O,CC1=C(C=C(N)C=C1)[N+]([O-])=O,CC1=C(C=C(N)C=C1)[N+]([O-])=O
119-33-5,CASRN,DTXSID0026961,4-Methyl-2-nitrophenol,CC1=CC(=C(O)C=C1)[N+]([O-])=O,CC1=CC(=C(O)C=C1)[N+]([O-])=O,CC1=CC(=C(O)C=C1)[N+]([O-])=O
1193386-64-9,CASRN,DTXSID0046696,Vardenafil citrate,OC(=O)CC(O)(CC(O)=O)C(O)=O.CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1,"OC(=O)CC(O)(CC(O)=O)C(O)=O,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1",CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1
119-34-6,CASRN,DTXSID6020064,4-Amino-2-nitrophenol,NC1=CC(=C(O)C=C1)[N+]([O-])=O,NC1=CC(=C(O)C=C1)[N+]([O-])=O,NC1=CC(=C(O)C=C1)[N+]([O-])=O
119356-77-3,CASRN,DTXSID0057627,Dapoxetine,CN(C)[C@@H](CCOC1=CC=CC2=C1C=CC=C2)C1=CC=CC=C1,CN(C)C(CCOC1=C2C=CC=CC2=CC=C1)C1=CC=CC=C1,CN(C)C(CCOC1=C2C=CC=CC2=CC=C1)C1=CC=CC=C1
119-36-8,CASRN,DTXSID5025659,Methyl salicylate,COC(=O)C1=C(O)C=CC=C1,COC(=O)C1=C(O)C=CC=C1,COC(=O)C1=C(O)C=CC=C1
1193-81-3,CASRN,DTXSID7047643,1-Cyclohexylethanol,CC(O)C1CCCCC1,CC(O)C1CCCCC1,CC(O)C1CCCCC1
119-39-1,CASRN,DTXSID4025903,1(2H)-Phthalazinone,O=C1NN=CC2=CC=CC=C12,O=C1N=NCC2=C1C=CC=C2,O=C1N=NCC2=C1C=CC=C2
119-40-4,CASRN,DTXSID0044787,4-Hydroxy-7-(phenylamino)naphthalene-2-sulfonic acid,OC1=CC(=CC2=C1C=CC(NC1=CC=CC=C1)=C2)S(O)(=O)=O,OC1=CC(=CC2=C1C=CC(NC1=CC=CC=C1)=C2)S(O)(=O)=O,OC1=CC(=CC2=C1C=CC(NC1=CC=CC=C1)=C2)S(O)(=O)=O
119413-54-6,CASRN,DTXSID1045952,Topotecan hydrochloride,Cl.CC[C@@]1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O,CCC1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O,CCC1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC(O)=C(CN(C)C)C1=C3)C2=O
119-41-5,CASRN,DTXSID3048736,Efloxate,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1
119431-25-3,CASRN,DTXSID1045744,Eliprodil,OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,OC(CN1CCC(CC2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
119446-68-3,CASRN,DTXSID4032372,Difenoconazole,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1
1194-65-6,CASRN,DTXSID5032365,"2,6-Dichlorobenzonitrile",ClC1=CC=CC(Cl)=C1C#N,ClC1=CC=CC(Cl)=C1C#N,ClC1=CC=CC(Cl)=C1C#N
119-47-1,CASRN,DTXSID4020870,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C,CC1=CC(CC2=CC(C)=CC(=C2O)C(C)(C)C)=C(O)C(=C1)C(C)(C)C
119-48-2,CASRN,DTXSID5057628,Dimorpholamine,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
119515-38-7,CASRN,DTXSID0034227,Icaridin,CCC(C)OC(=O)N1CCCCC1CCO,CCC(C)OC(=O)N1CCCCC1CCO,CCC(C)OC(=O)N1CCCCC1CCO
1195-16-0,CASRN,DTXSID0045888,Citiolone,CC(=O)NC1CCSC1=O,CC(=O)NC1CCSC1=O,CC(=O)NC1CCSC1=O
119-53-9,CASRN,DTXSID1020144,Benzoin,OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1
1195-79-5,CASRN,DTXSID9025324,alpha-Fenchone,CC1(C)C2CCC(C)(C2)C1=O,CC1(C)C2CCC(C)(C2)C1=O,CC1(C)C2CCC(C)(C2)C1=O
1196-01-6,CASRN,DTXSID9035620,Pin-2-en-4-one,CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,CC1=CC(=O)C2CC1C2(C)C,CC1=CC(=O)C2CC1C2(C)C
119615-63-3,CASRN,DTXSID7045813,Olprinone hydrochloride,Cl.CC1=C(C=C(C#N)C(=O)N1)C1=CN2C=CN=C2C=C1,CC1=NC(=O)C(=CC1C1=CN2C=CN=C2C=C1)C#N,CC1=NC(=O)C(=CC1C1=CN2C=CN=C2C=C1)C#N
119-61-9,CASRN,DTXSID0021961,Benzophenone,O=C(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C1=CC=CC=C1)C1=CC=CC=C1
119-64-2,CASRN,DTXSID1026118,Tetralin,C1CCC2=C(C1)C=CC=C2,C1CCC2=C(C1)C=CC=C2,C1CCC2=C(C1)C=CC=C2
119-65-3,CASRN,DTXSID2047644,Isoquinoline,C1=CC2=C(C=C1)C=NC=C2,C1=CC2=C(C=C1)C=NC=C2,C1=CC2=C(C=C1)C=NC=C2
1197-01-9,CASRN,DTXSID0024890,p-Cymen-8-ol,CC1=CC=C(C=C1)C(C)(C)O,CC1=CC=C(C=C1)C(C)(C)O,CC1=CC=C(C=C1)C(C)(C)O
1197-18-8,CASRN,DTXSID3045350,Tranexamic acid,NC[C@H]1CC[C@@H](CC1)C(O)=O,NCC1CCC(CC1)C(O)=O,NCC1CCC(CC1)C(O)=O
1197334-04-5,CASRN,DTXSID4042622,SB 206553 hydrochloride,Cl.CN1C=CC2=C1C=C1CCN(C(=O)NC3=CC=CN=C3)C1=C2,CN1C=CC2=C1C=C1CCN(C(=O)NC3=CC=CN=C3)C1=C2,CN1C=CC2=C1C=C1CCN(C(=O)NC3=CC=CN=C3)C1=C2
119-75-5,CASRN,DTXSID4025749,2-Nitrodiphenylamine,[O-][N+](=O)C1=CC=CC=C1NC1=CC=CC=C1,[O-][N+](=O)C1=CC=CC=C1NC1=CC=CC=C1,[O-][N+](=O)C1=CC=CC=C1NC1=CC=CC=C1
119-84-6,CASRN,DTXSID2020474,"3,4-Dihydrocoumarin",O=C1CCC2=C(O1)C=CC=C2,O=C1CCC2=C(O1)C=CC=C2,O=C1CCC2=C(O1)C=CC=C2
1198-77-2,CASRN,DTXSID8046828,Monosodium urate,[Na+].O=C1NC2=C(NC(=O)NC2=O)[N-]1,[H]N1C2C(=NC1=O)N([H])C(=O)N([H])C2=O,[H]N1C2C(=NC1=O)N([H])C(=O)N([H])C2=O
119-90-4,CASRN,DTXSID3025091,C.I. Disperse Black 6,COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1,COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1,COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1
119-93-7,CASRN,DTXSID5024059,"3,3'-Dimethylbenzidine",CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1,CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1,CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1
120011-70-3,CASRN,DTXSID0046698,Donepezil hydrochloride,Cl.COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
120066-54-8,CASRN,DTXSID2048662,Gadoteridol,[Gd+3].CC(O)CN1CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC1,CC(O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1,CC(O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1
120068-37-3,CASRN,DTXSID4034609,Fipronil,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F
120-07-0,CASRN,DTXSID5021962,N-Phenyl diethanolamine,OCCN(CCO)C1=CC=CC=C1,OCCN(CCO)C1=CC=CC=C1,OCCN(CCO)C1=CC=CC=C1
120081-14-3,CASRN,DTXSID0057629,Goralatide,CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(O)=O,CC(=O)NC(CO)C(=O)NC(CC(O)=O)C(=O)NC(CCCCN)C(=O)N1CCCC1C(O)=O,CC(=O)NC(CO)C(=O)NC(CC(O)=O)C(=O)NC(CCCCN)C(=O)N1CCCC1C(O)=O
120116-88-3,CASRN,DTXSID9034492,"4-Chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide",CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N,CN(C)S(=O)(=O)N1C(=NC(Cl)=C1C1=CC=C(C)C=C1)C#N
120-12-7,CASRN,DTXSID0023878,Anthracene,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1
120-14-9,CASRN,DTXSID7026285,Veratraldehyde,COC1=CC=C(C=O)C=C1OC,COC1=CC=C(C=O)C=C1OC,COC1=CC=C(C=O)C=C1OC
120-18-3,CASRN,DTXSID5044788,Naphthalene-2-sulfonic acid,OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1,OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1,OS(=O)(=O)C1=CC2=C(C=CC=C2)C=C1
120210-48-2,CASRN,DTXSID9046104,Tenidap,NC(=O)N1C(O)=C(C(=O)C2=CC=CS2)C2=CC(Cl)=CC=C12,NC(=O)N1C(O)=C(C(=O)C2=CC=CS2)C2=CC(Cl)=CC=C12,NC(=O)N1C(O)=C(C(=O)C2=CC=CS2)C2=CC(Cl)=CC=C12
120-21-8,CASRN,DTXSID0021963,4-(Diethylamino)benzaldehyde,CCN(CC)C1=CC=C(C=O)C=C1,CCN(CC)C1=CC=C(C=O)C=C1,CCN(CC)C1=CC=C(C=O)C=C1
120-23-0,CASRN,DTXSID2042195,2-Naphthoxyacetic acid,OC(=O)COC1=CC2=C(C=CC=C2)C=C1,OC(=O)COC1=CC2=C(C=CC=C2)C=C1,OC(=O)COC1=CC2=C(C=CC=C2)C=C1
120-29-6,CASRN - WARNING: Synonym mapped to two or more chemicals,DTXSID2049399,Tropine,CN1[C@H]2CC[C@@H]1C[C@H](O)C2,[H]C12CCC([H])(CC(O)C1)N2C,[H]C12CCC([H])(CC(O)C1)N2C
120-29-6,Integrated Source CAS-RN - WARNING: Synonym mapped to two or more chemicals,DTXSID70859224,8-Methyl-8-azabicyclo[3.2.1]octan-3-ol,[H]C12CCC([H])(CC(O)C1)N2C,[H]C12CCC([H])(CC(O)C1)N2C,[H]C12CCC([H])(CC(O)C1)N2C
120-32-1,CASRN,DTXSID5020154,Clorophene,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1,OC1=C(CC2=CC=CC=C2)C=C(Cl)C=C1
120-36-5,CASRN,DTXSID0020440,Dichlorprop,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O
120373-24-2,CASRN,DTXSID5049071,Unoprostone isopropyl ester,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)OC(C)C,CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)OC(C)C,CCCCCCCC(=O)CCC1C(O)CC(O)C1CC=CCCCC(=O)OC(C)C
120-37-6,CASRN,DTXSID7025269,3-Ethylamino-4-methylphenol,CCNC1=CC(O)=CC=C1C,CCNC1=CC(O)=CC=C1C,CCNC1=CC(O)=CC=C1C
120-40-1,CASRN,DTXSID5025491,"N,N-Bis(2-hydroxyethyl)dodecanamide",CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)N(CCO)CCO,CCCCCCCCCCCC(=O)N(CCO)CCO
120410-24-4,CASRN,DTXSID5046435,Biapenem,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN4C=NC=[N+]4C3)=C(N2C1=O)C([O-])=O,CC(O)C1C2C(C)C(SC3CN4C=NC=[N+]4C3)=C(N2C1=O)C([O-])=O,CC(O)C1C2C(C)C(SC3CN4C=NC=[N+]4C3)=C(N2C1=O)C([O-])=O
120-45-6,CASRN,DTXSID9047091,1-Phenylethyl propionate,CCC(=O)OC(C)C1=CC=CC=C1,CCC(=O)OC(C)C1=CC=CC=C1,CCC(=O)OC(C)C1=CC=CC=C1
120-46-7,CASRN,DTXSID3041247,"1,3-Diphenyl-1,3-propanedione",O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1
120-47-8,CASRN,DTXSID9022528,Ethylparaben,CCOC(=O)C1=CC=C(O)C=C1,CCOC(=O)C1=CC=C(O)C=C1,CCOC(=O)C1=CC=C(O)C=C1
120-50-3,CASRN,DTXSID6047074,Isobutyl benzoate,CC(C)COC(=O)C1=CC=CC=C1,CC(C)COC(=O)C1=CC=CC=C1,CC(C)COC(=O)C1=CC=CC=C1
120511-73-1,CASRN,DTXSID9022607,Anastrozole,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
120-51-4,CASRN,DTXSID8029153,Benzyl benzoate,O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,O=C(OCC1=CC=CC=C1)C1=CC=CC=C1
1205-17-0,CASRN,DTXSID7043908,"3-(3,4-Methylenedioxyphenyl)-2-methylpropanal",CC(CC1=CC2=C(OCO2)C=C1)C=O,CC(CC1=CC2=C(OCO2)C=C1)C=O,CC(CC1=CC2=C(OCO2)C=C1)C=O
120-55-8,CASRN,DTXSID0026967,Diethylene glycol dibenzoate,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
1205-64-7,CASRN,DTXSID9044790,3-Methyl-N-phenylaniline,CC1=CC(NC2=CC=CC=C2)=CC=C1,CC1=CC(NC2=CC=CC=C2)=CC=C1,CC1=CC(NC2=CC=CC=C2)=CC=C1
120-56-9,CASRN,DTXSID7029611,Ethylenebis(oxyethylene) dibenzoate,O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
120-57-0,CASRN,DTXSID7025924,Piperonal,O=CC1=CC=C2OCOC2=C1,O=CC1=CC=C2OCOC2=C1,O=CC1=CC=C2OCOC2=C1
120-58-1,CASRN,DTXSID2020767,Isosafrole,CC=CC1=CC2=C(OCO2)C=C1,CC=CC1=CC2=C(OCO2)C=C1,CC=CC1=CC2=C(OCO2)C=C1
120-61-6,CASRN,DTXSID0020498,Dimethyl terephthalate,COC(=O)C1=CC=C(C=C1)C(=O)OC,COC(=O)C1=CC=C(C=C1)C(=O)OC,COC(=O)C1=CC=C(C=C1)C(=O)OC
120-62-7,CASRN,DTXSID1021168,Piperonyl sulfoxide,CCCCCCCCS(=O)C(C)CC1=CC2=C(OCO2)C=C1,CCCCCCCCS(=O)C(C)CC1=CC2=C(OCO2)C=C1,CCCCCCCCS(=O)C(C)CC1=CC2=C(OCO2)C=C1
120638-55-3,CASRN,DTXSID8044206,Bromfenac sodium sesquihydrate,O.O.O.[Na+].[Na+].NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1.NC1=C(CC([O-])=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1,NC1=C(CC(O)=O)C=CC=C1C(=O)C1=CC=C(Br)C=C1
120-65-0,CASRN,DTXSID3041293,2-((Dimethylamino)methyl)phenol,CN(C)CC1=CC=CC=C1O,CN(C)CC1=CC=CC=C1O,CN(C)CC1=CC=CC=C1O
120-66-1,CASRN,DTXSID1024413,N-Acetyl-o-toluidine,CC(=O)NC1=C(C)C=CC=C1,CC(=O)NC1=C(C)C=CC=C1,CC(=O)NC1=C(C)C=CC=C1
120693-79-0,CASRN,DTXSID6048911,(-)-Metazocine fumarate (1:1),OC(=O)\C=C\C(O)=O.C[C@@H]1[C@H]2CC3=C(C=C(O)C=C3)[C@]1(C)CCN2C,"[H]C12CC3=C(C=C(O)C=C3)C(C)(CCN1C)C2C,OC(=O)C=CC(O)=O",[H]C12CC3=C(C=C(O)C=C3)C(C)(CCN1C)C2C
1207-12-1,CASRN,DTXSID6052740,"4,6-Dimethyldibenzothiophene",CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1,CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1,CC1=CC2=C(SC3=CC=CC(C)=C23)C=C1
120-71-8,CASRN,DTXSID1020350,2-Methoxy-5-methylaniline,COC1=CC=C(C)C=C1N,COC1=CC=C(C)C=C1N,COC1=CC=C(C)C=C1N
120-72-9,CASRN,DTXSID0020737,Indole,N1C=CC2=C1C=CC=C2,N1C=CC2=C1C=CC=C2,N1C=CC2=C1C=CC=C2
120-75-2,CASRN,DTXSID8049208,2-Methylbenzothiazole,CC1=NC2=C(S1)C=CC=C2,CC1=NC2=C(S1)C=CC=C2,CC1=NC2=C(S1)C=CC=C2
120-78-5,CASRN,DTXSID1020146,"2,2'-Dithiobisbenzothiazole",S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2,S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2,S(SC1=NC2=C(S1)C=CC=C2)C1=NC2=C(S1)C=CC=C2
120-80-9,CASRN,DTXSID3020257,"1,??-?딟enzenediol",OC1=C(O)C=CC=C1,OC1=C(O)C=CC=C1,OC1=C(O)C=CC=C1
120-82-1,CASRN,DTXSID0021965,"1,2,4-Trichlorobenzene",ClC1=CC(Cl)=C(Cl)C=C1,ClC1=CC(Cl)=C(Cl)C=C1,ClC1=CC(Cl)=C(Cl)C=C1
120824-08-0,CASRN,DTXSID4046103,Linotroban,OC(=O)COC1=CC=C(CCNS(=O)(=O)C2=CC=CC=C2)S1,OC(=O)COC1=CC=C(CCNS(=O)(=O)C2=CC=CC=C2)S1,OC(=O)COC1=CC=C(CCNS(=O)(=O)C2=CC=CC=C2)S1
120-83-2,CASRN,DTXSID1020439,"2,4-Dichlorophenol",OC1=C(Cl)C=C(Cl)C=C1,OC1=C(Cl)C=C(Cl)C=C1,OC1=C(Cl)C=C(Cl)C=C1
12083-48-6,CASRN,DTXSID2024616,Vanadocene dichloride,[Cl-].[Cl-].[V+4](C1C=CC=[C-]1)C1C=CC=[C-]1,[V+4](C1C=CC=[C-]1)C1C=CC=[C-]1,N/A
120-92-3,CASRN,DTXSID3029154,Cyclopentanone,O=C1CCCC1,O=C1CCCC1,O=C1CCCC1
120928-09-8,CASRN,DTXSID4040476,Fenazaquin,CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1,CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1,CC(C)(C)C1=CC=C(CCOC2=NC=NC3=C2C=CC=C3)C=C1
120-93-4,CASRN,DTXSID0020602,Ethylene urea,O=C1NCCN1,O=C1NCCN1,O=C1NCCN1
120-94-5,CASRN,DTXSID8042210,N-Methylpyrrolidine,CN1CCCC1,CN1CCCC1,CN1CCCC1
120-95-6,CASRN,DTXSID9026974,"2,4-Di-tert-pentylphenol",CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC,CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC,CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC
120958-90-9,CASRN,DTXSID4048806,Dalcotidine,CCNC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1,CCNC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1,CCNC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1
120-97-8,CASRN,DTXSID1022922,Dichlorphenamide,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O,NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O
120983-64-4,CASRN,DTXSID3044338,"2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol",OC(CN1C=NC=N1)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1,OC(CN1C=NC=N1)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1,OC(CN1C=NC=N1)(CC1=C(Cl)C=CC=C1)C1(Cl)CC1
121-00-6,CASRN,DTXSID7040788,2-tert-Butyl-4-methoxyphenol,COC1=CC=C(O)C(=C1)C(C)(C)C,COC1=CC=C(O)C(=C1)C(C)(C)C,COC1=CC=C(O)C(=C1)C(C)(C)C
1210-12-4,CASRN,DTXSID3049209,9-Cyanoanthracene,N#CC1=C2C=CC=CC2=CC2=C1C=CC=C2,N#CC1=C2C=CC=CC2=CC2=C1C=CC=C2,N#CC1=C2C=CC=CC2=CC2=C1C=CC=C2
121032-29-9,CASRN,DTXSID6046842,Nelarabine,COC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O)C2=NC(N)=N1,COC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC(N)=N1,COC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC(N)=N1
1210-35-1,CASRN,DTXSID4049400,Dibenzosuberone,O=C1C2=CC=CC=C2CCC2=C1C=CC=C2,O=C1C2=CC=CC=C2CCC2=C1C=CC=C2,O=C1C2=CC=CC=C2CCC2=C1C=CC=C2
121-03-9,CASRN,DTXSID4026975,2-Methyl-5-nitrobenzenesulfonic acid,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O,CC1=CC=C(C=C1S(O)(=O)=O)[N+]([O-])=O
1210-39-5,CASRN,DTXSID2049210,"3,3-Diphenylacrylaldehyde",O=CC=C(C1=CC=CC=C1)C1=CC=CC=C1,O=CC=C(C1=CC=CC=C1)C1=CC=CC=C1,O=CC=C(C1=CC=CC=C1)C1=CC=CC=C1
121057-90-7,CASRN,DTXSID5047877,1-Ethyl-1-methylpyrrolidinium hexafluorophosphate,F[P-](F)(F)(F)(F)F.CC[N+]1(C)CCCC1,CC[N+]1(C)CCCC1,CC[N+]1(C)CCCC1
12108-13-3,CASRN,DTXSID9027738,(Methylcyclopentadienyl)tricarbonylmanganese,CC1C=C[C-](=C1)[Mn+]([C-]#[O+])([C-]#[O+])[C-]#[O+],N/A,N/A
121107-18-4,CASRN,DTXSID5047904,Methyltrioctylammonium trifluoromethanesulfonate,[O-]S(=O)(=O)C(F)(F)F.CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,"OS(=O)(=O)C(F)(F)F,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC",CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC
121123-17-9,CASRN,DTXSID3046085,Cefprozil monohydrate,O.CC=CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O,CC=CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CC=C(O)C=C1)C2=O)C(O)=O,CC=CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CC=C(O)C=C1)C2=O)C(O)=O
121-14-2,CASRN,DTXSID0020529,"2,4-Dinitrotoluene",CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
121-17-5,CASRN,DTXSID2024799,4-Chloro-3-nitrobenzotrifluoride,[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F,[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F,[O-][N+](=O)C1=C(Cl)C=CC(=C1)C(F)(F)F
121-19-7,CASRN,DTXSID9020956,4-Hydroxy-3-nitrophenylarsonic acid,OC1=C(C=C(C=C1)[As](O)(O)=O)[N+]([O-])=O,N/A,N/A
1212-29-9,CASRN,DTXSID9020451,"N,N'-Dicyclohexylthiourea",S=C(NC1CCCCC1)NC1CCCCC1,S=C(NC1CCCCC1)NC1CCCCC1,S=C(NC1CCCCC1)NC1CCCCC1
